case_name,nx,ny,tau,rho0,uMax,characteristic_length,steps_done,fx,fy,avgFx,avgFy,Cd,Cl
validation_re20,441,84,0.6,1,0.05,20,3000,0.0628099,-0.000613351,0.0644436,-0.00046584,5.79992,-0.0419256
dat_mask_case,80,40,0.6,1,0.05,20,10000,0.0715436,-0.00184109,0.0715446,-0.00184109,6.43902,-0.165698
dat_mask_case,80,40,0.6,1,0.05,20,5000,0.0714837,-0.00184133,0.0715648,-0.00184105,6.44083,-0.165694
dat_mask_case,80,40,0.6,1,0.05,20,5000,0.0714885,-0.00185023,0.0716342,-0.00184995,6.44708,-0.166495
dat_mask_case,300,80,0.6,1,0.05,20,3000,0.0642211,0.00439095,0.0607172,-0.00164028,5.46455,-0.147625
dat_mask_case,300,80,0.6,1,0.05,20,3000,0.335477,-0.0628222,0.23302,0.0342747,20.9718,3.08472
dat_mask_case,300,80,0.6,1,0.05,20,3000,0.0642211,0.00439095,0.0584135,-0.0017314,5.25722,-0.155826
dat_mask_case,300,80,0.6,1,0.05,20,3000,0.1024,-0.00732433,0.0938889,-0.00515605,8.45,-0.464044
dat_mask_case,300,80,0.6,1,0.05,20,3000,0.1024,-0.00732433,0.0938889,-0.00515605,8.45,-0.464044
dat_mask_case,300,80,0.7,1,0.03,90,3000,0.107197,-0.00377759,0.105034,-0.00594878,5.83521,-0.330488
dat_mask_case,300,80,0.7,1,0.06,10,2000,-0.0140634,-0.0101128,0.109533,-0.00873818,13.6916,-1.09227
dat_mask_case,300,80,0.6,1,0.03,15,2000,-0.0384694,-0.00468385,0.0245511,-0.000220167,8.18372,-0.0733889
